[2019-03-07T06:40:21.385] [INFO] oth - 用户:EMEA id:260e0ba0-80ce-4724-8908-6ea8e637fe3e 观看了宣传视频
[2019-03-07T08:16:25.676] [INFO] oth - 用户:梦颜堂🎀韩立🌸 id:e1ec8d07-07d5-4bac-9d37-1ec918f09ac7 观看了宣传视频
[2019-03-07T08:35:11.402] [INFO] oth - 用户:🌹夏末～秋至 id:e83bda6d-d6d4-4a85-808c-1f460f88cea6 观看了宣传视频
[2019-03-07T09:10:30.088] [INFO] oth - 用户:未登录用户 id:#### 观看了宣传视频
[2019-03-07T10:34:08.777] [INFO] oth - 用户:魅力团队 id:109d8145-872e-42e7-897b-16619821a1ee 观看了宣传视频
[2019-03-07T10:53:59.146] [INFO] oth - 用户:A我的孤独是一座花园 id:7920e97f-d99e-482b-b8b9-2634eec8af1b 观看了宣传视频
[2019-03-07T11:11:37.190] [INFO] oth - 用户:S召香皮肤管理中心 id:824bd491-0695-474a-b7d3-a01fc29f78a7 观看了宣传视频
[2019-03-07T11:17:36.991] [INFO] oth - 用户:未登录用户 id:#### 观看了宣传视频
[2019-03-07T11:54:48.436] [INFO] oth - 用户:未登录用户 id:#### 观看了宣传视频
[2019-03-07T12:07:48.815] [INFO] oth - 用户:未登录用户 id:#### 观看了宣传视频
[2019-03-07T13:25:47.483] [INFO] oth - 用户:Jessica id:3f059f7e-6990-4a6d-91b5-63dd0b827ef4 观看了宣传视频
[2019-03-07T13:46:33.004] [INFO] oth - 用户:王某某。 id:403cfadb-a1fb-4ba2-b58d-5751d603be36 观看了宣传视频
[2019-03-07T13:46:36.606] [INFO] oth - 用户:王某某。 id:403cfadb-a1fb-4ba2-b58d-5751d603be36 观看了宣传视频
[2019-03-07T13:46:45.975] [INFO] oth - 用户:王某某。 id:403cfadb-a1fb-4ba2-b58d-5751d603be36 观看了宣传视频
[2019-03-07T13:46:47.247] [INFO] oth - 用户:王某某。 id:403cfadb-a1fb-4ba2-b58d-5751d603be36 观看了宣传视频
[2019-03-07T13:46:49.540] [INFO] oth - 用户:王某某。 id:403cfadb-a1fb-4ba2-b58d-5751d603be36 观看了宣传视频
[2019-03-07T13:46:50.789] [INFO] oth - 用户:王某某。 id:403cfadb-a1fb-4ba2-b58d-5751d603be36 观看了宣传视频
[2019-03-07T13:46:52.532] [INFO] oth - 用户:王某某。 id:403cfadb-a1fb-4ba2-b58d-5751d603be36 观看了宣传视频
[2019-03-07T13:48:21.375] [INFO] oth - 用户:小莉 id:984c31a7-1274-4fa3-a49b-b41ec03bf88c 观看了宣传视频
[2019-03-07T14:46:13.971] [INFO] oth - 用户:星宇 id:0b4609ae-4d12-4bf7-be1c-6c283ff01b61 观看了宣传视频
[2019-03-07T14:46:54.561] [INFO] oth - 用户:未登录用户 id:#### 观看了宣传视频
[2019-03-07T15:55:29.233] [INFO] oth - 用户:🍀岁月静好🍀 id:e0db090a-a3e7-4250-ae2e-940424005db0 观看了宣传视频
[2019-03-07T16:19:30.622] [INFO] oth - 用户:月 id:9569a28d-4ca4-418f-a4a5-55d90473f043 观看了宣传视频
[2019-03-07T16:21:58.354] [INFO] oth - 用户:未登录用户 id:#### 观看了宣传视频
[2019-03-07T16:22:01.128] [INFO] oth - 用户:未登录用户 id:#### 观看了宣传视频
[2019-03-07T18:09:00.936] [INFO] oth - 用户:︶ㄣ守护餂訫ㄜ︵ id:3289e6f0-3987-40f3-9542-193018110e89 观看了宣传视频
[2019-03-07T18:14:51.192] [INFO] oth - 用户:唯美°（づ~ 8~)づ id:e656a555-b32e-4dea-9b60-1009ce1131c2 观看了宣传视频
[2019-03-07T18:23:47.516] [INFO] oth - 用户:未登录用户 id:#### 观看了宣传视频
[2019-03-07T18:30:15.871] [INFO] oth - 用户:点点！ id:30ff46bf-bc52-436e-8885-6002bb166589 观看了宣传视频
[2019-03-07T19:01:26.136] [INFO] oth - 用户:月 id:9569a28d-4ca4-418f-a4a5-55d90473f043 观看了宣传视频
[2019-03-07T19:07:27.674] [INFO] oth - 用户:蒹葭苍苍 id:f641da0a-7104-482f-b55a-900b30ba58d1 观看了宣传视频
[2019-03-07T19:14:07.544] [INFO] oth - 用户:未登录用户 id:#### 观看了宣传视频
[2019-03-07T19:15:49.978] [INFO] oth - 用户:未登录用户 id:#### 观看了宣传视频
[2019-03-07T20:08:27.446] [INFO] oth - 用户:奥瑞拉 id:0a44cf79-a850-4bde-861c-2fba12262d09 观看了宣传视频
[2019-03-07T21:44:53.631] [INFO] oth - 用户:微笑 id:f09c748c-9fb3-493d-8cc4-e0ccd29fe56c 观看了宣传视频
[2019-03-07T21:48:46.537] [INFO] oth - 用户:陈佳科👦 id:b1e4fc61-29ac-4baa-b9c0-bb9d0c4b23e4 观看了宣传视频
[2019-03-07T21:49:03.015] [INFO] oth - 用户:陈佳科👦 id:b1e4fc61-29ac-4baa-b9c0-bb9d0c4b23e4 观看了宣传视频
[2019-03-07T21:49:04.190] [INFO] oth - 用户:陈佳科👦 id:b1e4fc61-29ac-4baa-b9c0-bb9d0c4b23e4 观看了宣传视频
[2019-03-07T22:23:18.309] [INFO] oth - 用户:未登录用户 id:#### 观看了宣传视频
[2019-03-07T22:28:03.224] [INFO] oth - 用户:未登录用户 id:#### 观看了宣传视频
[2019-03-07T22:48:34.498] [INFO] oth - 用户:未登录用户 id:#### 观看了宣传视频
[2019-03-07T22:55:02.304] [INFO] oth - 用户:百合 id:cbe95581-e688-41bb-91a6-4bccab0557c5 观看了宣传视频
