[2019-03-10T00:30:36.518] [INFO] oth - 用户:羊圈子专业修脚店 id:69f53f09-0d9b-420a-8f26-5f855e91707d 观看了宣传视频
[2019-03-10T06:37:53.219] [INFO] oth - 用户:未登录用户 id:#### 观看了宣传视频
[2019-03-10T06:53:58.344] [INFO] oth - 用户:郭绍武 id:886fb615-ef4d-49f3-92db-b7868b78ba89 观看了宣传视频
[2019-03-10T06:53:58.406] [INFO] oth - 用户:郭绍武 id:886fb615-ef4d-49f3-92db-b7868b78ba89 观看了宣传视频
[2019-03-10T06:53:58.438] [INFO] oth - 用户:郭绍武 id:886fb615-ef4d-49f3-92db-b7868b78ba89 观看了宣传视频
[2019-03-10T06:53:58.500] [INFO] oth - 用户:郭绍武 id:886fb615-ef4d-49f3-92db-b7868b78ba89 观看了宣传视频
[2019-03-10T06:53:58.547] [INFO] oth - 用户:郭绍武 id:886fb615-ef4d-49f3-92db-b7868b78ba89 观看了宣传视频
[2019-03-10T07:52:40.635] [INFO] oth - 用户:清秋 id:23b6ad56-c546-4864-92c0-ee3a6293dd8a 观看了宣传视频
[2019-03-10T07:59:10.156] [INFO] oth - 用户:A秋天的云 id:50ee5128-6d00-4173-bc24-073ed416f463 观看了宣传视频
[2019-03-10T11:28:19.578] [INFO] oth - 用户:未登录用户 id:#### 观看了宣传视频
[2019-03-10T14:32:42.866] [INFO] oth - 用户:未登录用户 id:#### 观看了宣传视频
[2019-03-10T17:31:27.535] [INFO] oth - 用户:AEST_潘颖慧 id:c6ff4081-e33a-40c4-92f7-943f6ad084ce 观看了宣传视频
[2019-03-10T19:23:37.634] [INFO] oth - 用户:陌路💋红颜 id:5b53f101-2cc7-4e20-84b2-7b41df4f28e6 观看了宣传视频
[2019-03-10T21:22:28.382] [INFO] oth - 用户:未登录用户 id:#### 观看了宣传视频
[2019-03-10T22:04:21.005] [INFO] oth - 用户:未登录用户 id:#### 观看了宣传视频
[2019-03-10T22:08:42.083] [INFO] oth - 用户:未登录用户 id:#### 观看了宣传视频
[2019-03-10T23:07:02.302] [INFO] oth - 用户:未登录用户 id:#### 观看了宣传视频
